student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1362,Elizabeth Patton,B,58.4,42.4,59.0,65.0,61.1,46.1
S1363,Jeremy Drake,B,69.4,76.4,82.0,76.4,6.0,67.9
S1364,Stephanie Lewis,C,70.0,66.2,79.7,77.5,88.5,67.0
S1365,Amber Malone,A,56.1,43.1,48.7,54.1,7.4,47.1
S1366,Kimberly Palmer,C,88.0,60.4,36.3,50.6,11.8,57.1
S1367,Tina Tucker,C,80.5,53.7,56.3,63.1,42.3,64.2
S1368,Sarah Kemp,A,67.3,69.8,45.6,74.1,15.0,63.8
S1369,Jason Paul,A,70.3,85.1,58.9,63.9,28.1,58.1
S1370,Jennifer Johnson,A,72.5,36.9,82.3,39.9,17.6,59.1
S1371,David Gibson,A,45.5,66.7,51.8,50.8,40.7,42.2
S1372,Jennifer Ramirez,A,67.0,62.6,59.2,61.0,7.8,60.5
S1373,Amy Andrews,B,61.8,75.1,61.0,60.9,1.8,62.4
S1374,Jaime Simmons,A,58.0,68.2,75.3,89.6,10.7,51.7
S1375,Melissa Brown,A,66.6,53.7,19.6,42.6,19.3,44.8
S1376,Barbara Salazar,C,91.6,60.2,49.1,69.1,5.5,60.0
S1377,Amber Moore,A,77.7,53.1,63.8,82.8,13.1,57.5
S1378,Janice Martin,C,63.1,81.1,81.6,93.8,15.3,78.1
S1379,Samantha Allen,A,76.9,65.3,51.1,56.3,1.8,54.2
S1380,Victoria Beasley,A,86.8,93.5,26.2,68.9,26.3,60.8
S1381,Lori Reyes,B,81.1,64.1,71.2,70.0,64.7,67.2
S1382,Jean Beasley,B,70.7,54.4,48.6,64.7,4.9,58.5
S1383,Diane Perez,C,62.2,42.3,38.6,60.6,27.3,45.9
S1384,Briana Robbins,B,78.4,38.0,48.8,68.1,32.8,60.8
S1385,Andrew Powell,C,74.7,41.2,56.7,26.5,16.3,51.6
S1386,Scott Pope,A,80.7,69.0,49.1,71.5,36.2,49.9
S1387,Lisa Johns PhD,A,77.6,72.6,20.3,63.8,15.9,52.3
S1388,Laura King,C,82.6,41.3,76.1,58.9,21.1,56.3
S1389,Jason Bruce,C,63.6,78.4,82.9,90.7,0.2,71.7
S1390,Ann Thomas,C,85.8,57.8,71.7,52.6,35.3,47.5
S1391,Julia Lopez,B,72.4,67.2,39.5,56.4,32.5,71.0
S1392,Stephanie Francis,A,94.9,89.2,56.4,89.9,1.2,78.7
S1393,Craig Hamilton,C,61.7,78.5,59.9,50.4,13.8,58.9
S1394,Mr. Alexander Strong,A,90.8,61.0,70.8,54.3,115.9,74.8
S1395,Sean Hall,C,72.4,51.6,72.0,59.9,16.4,72.5
S1396,Eric Robinson,C,62.2,32.7,46.8,73.8,20.9,53.0
S1397,Brittney Morris,B,64.2,54.2,61.5,64.9,72.2,62.3
S1398,Robert Soto,C,66.2,61.8,68.2,43.9,37.9,57.3
S1399,Pamela Clark,C,75.1,50.2,86.2,54.5,26.2,60.3
S1400,Jessica Holmes,A,76.3,63.0,72.7,53.5,48.0,59.5
S1401,Ashley Frank,C,63.1,66.2,74.2,60.9,59.9,56.0
S1402,Alexander Hanson,B,69.7,61.6,61.5,68.0,18.3,55.2
S1403,Rachel Mccullough,C,95.7,55.2,85.4,67.9,19.3,62.2
S1404,Kathleen Morgan,A,90.7,67.5,67.4,37.1,14.6,63.1
S1405,Renee Jacobs,C,75.2,71.6,44.5,76.9,102.1,53.4
S1406,Rebecca Ward,A,70.5,48.6,85.3,65.5,35.8,62.2
S1407,Michelle Weber,A,71.4,86.2,72.6,81.4,2.6,69.5
S1408,Mitchell Mendoza,C,77.4,63.5,52.0,68.2,59.6,62.1
S1409,Chad Patel,A,57.7,65.3,51.4,77.4,19.7,52.9
S1410,Adam Nelson,A,66.9,75.6,65.3,68.5,2.1,80.8
S1411,Ashley Gonzales,C,50.0,68.5,68.3,80.8,23.9,66.7
S1412,Samantha Hernandez,C,74.8,79.3,63.6,69.3,16.2,58.3
S1413,Charles Cohen,B,77.8,69.3,65.6,60.6,63.1,65.8
S1414,Rebecca Parsons,B,64.2,55.8,90.6,93.8,6.8,61.9
S1415,Travis Miller,B,88.9,70.4,79.3,74.4,52.5,66.5
S1416,Katherine Vaughn,A,55.3,47.8,63.4,70.0,24.5,44.3
S1417,Patricia Taylor,A,52.4,66.6,76.9,44.1,1.7,57.0
S1418,Michael Gallagher,B,72.7,64.5,41.4,44.0,107.1,51.4
S1419,Nancy Vance,C,82.6,61.9,67.2,66.1,21.6,69.9
S1420,James Martinez,C,90.2,63.1,92.6,64.0,10.3,77.2
S1421,Patricia Moore,C,64.5,36.8,56.1,53.4,19.0,56.5
S1422,Wanda Grant,A,82.9,56.8,44.7,64.0,58.5,54.0
S1423,Travis Jackson,B,69.5,66.4,48.3,84.2,10.9,62.9
S1424,Matthew Gonzalez,A,67.9,67.4,40.4,71.7,6.4,60.0
S1425,Austin Peterson,B,80.6,49.6,45.9,46.0,4.1,49.9
S1426,Jennifer Lowe,B,77.8,84.0,53.3,60.4,10.6,59.7
S1427,Ryan Ford,C,51.1,52.0,34.7,50.7,45.4,53.7
S1428,Charles Cline,A,87.7,79.5,60.3,56.6,19.1,68.6
S1429,Jennifer Brown,A,86.6,71.4,76.2,56.2,7.7,71.5
S1430,Tracy Jordan,A,62.5,55.3,43.7,55.3,5.5,44.8
S1431,Barbara Kelly,C,74.7,91.6,87.3,44.4,12.1,62.5
S1432,Melissa Riley,B,75.9,47.1,69.2,60.2,84.4,56.1
S1433,Jim Rhodes,A,73.1,78.8,78.6,54.2,12.6,65.0
S1434,Charles Garcia,A,63.4,80.0,48.2,21.0,133.0,48.7
S1435,Amanda Henderson,B,61.9,54.9,75.4,90.7,19.9,61.4
S1436,Jeanne Oliver,A,69.7,85.9,40.3,77.2,5.9,52.1
S1437,Andrew Baker,C,84.1,61.2,76.0,56.7,66.5,59.2
S1438,Michele Morales,B,76.5,69.3,63.1,62.3,18.5,66.7
S1439,Kim Alexander,A,65.6,68.9,70.0,45.6,37.1,62.3
S1440,Benjamin Butler,A,79.3,63.0,38.8,85.7,123.5,60.9
S1441,Mr. Brian Williams DDS,C,35.8,77.2,43.9,88.6,1.5,46.0
S1442,Danielle Davis,A,83.8,76.9,70.8,64.2,3.1,62.1
S1443,Daniel Martin,A,49.1,38.8,42.9,76.3,38.2,43.2
S1444,Sheri Mahoney,C,65.7,84.6,68.3,64.5,9.9,68.3
S1445,Michael Henderson,C,56.6,40.1,35.4,43.3,6.1,46.3
S1446,Kathy Hunter,C,54.5,80.5,75.3,56.2,1.2,57.0
S1447,Carolyn Cline,C,83.9,81.9,37.8,63.8,0.7,55.9
S1448,Erik Willis,A,64.4,48.6,69.9,55.6,44.7,56.5
S1449,Elizabeth Monroe,A,74.2,58.8,71.3,58.9,4.3,55.2
S1450,Krista Stewart,C,69.4,48.4,47.5,60.7,18.9,48.9
S1451,Tabitha Oconnor,B,75.7,61.8,70.5,60.9,27.9,70.0
S1452,Gina Howell,B,70.9,60.4,64.7,62.7,16.8,64.1
S1453,Deanna Barr,C,54.6,76.7,50.3,47.2,0.8,53.7
S1454,Margaret Johnston,A,82.0,84.7,41.8,52.0,45.9,55.4
S1455,Richard Ruiz,B,64.1,85.9,24.7,44.0,0.3,53.5
S1456,Stephanie Macias,A,51.3,56.6,66.3,75.7,43.1,61.6
S1457,Ethan Harding,B,64.9,61.9,31.8,32.5,67.1,45.6
S1458,George Marshall,A,88.0,39.7,61.7,78.2,17.0,68.9
S1459,Jessica Martin,A,80.2,52.9,55.3,81.4,23.0,68.9
S1460,Kathryn Michael,A,65.8,79.5,72.2,57.8,19.4,73.2
S1461,Alex Hunt,B,65.8,89.2,54.6,25.6,14.8,59.0
S1462,Tina Mayer,B,66.1,46.5,54.1,56.9,65.5,56.0
S1463,Dr. Ashlee Campbell,B,94.9,56.1,73.2,61.1,67.3,76.5
S1464,Michele Richardson,C,74.6,64.6,66.0,47.9,12.3,61.9
S1465,Dan White,A,75.2,69.2,65.7,54.8,28.6,58.9
S1466,Sabrina Greene,A,82.4,52.9,68.4,83.4,78.5,63.4
S1467,Jasmine Brady,C,72.9,71.4,32.4,71.3,98.2,60.8
S1468,Jamie Cox,A,66.9,57.9,73.6,49.1,21.3,49.4
S1469,Antonio Gray,C,67.6,64.8,71.0,39.6,18.1,56.2
S1470,Jessica Hernandez,A,69.1,73.2,41.7,57.4,9.8,62.8
S1471,Gabriela Moore,C,69.6,65.1,55.6,59.0,95.7,46.4
S1472,Dr. Russell Jordan,A,78.7,58.5,59.3,68.9,4.6,69.8
S1473,Jeffrey Francis,C,70.6,63.4,57.6,54.5,26.0,64.1
S1474,Christian Kim,B,78.8,63.7,66.0,69.2,10.0,60.6
S1475,Dalton Townsend,C,69.0,59.4,85.8,89.1,9.8,69.6
S1476,Clarence Young MD,A,70.9,61.1,79.5,73.4,15.6,63.9
S1477,Tracey Buckley,B,46.0,89.0,36.4,61.3,180.0,64.4
S1478,Justin Cox,C,81.0,73.4,71.2,59.4,1.7,71.7
S1479,Michael Smith,B,74.2,60.6,83.9,57.0,25.9,55.0
S1480,Richard Mcbride,B,82.0,75.5,67.0,78.5,2.6,72.2
S1481,Victor Jacobson,B,35.2,60.0,79.6,53.2,5.0,48.4
S1482,Steven Fuentes,B,95.1,82.6,96.2,62.6,17.4,78.7
S1483,Larry Butler,B,68.3,70.5,78.4,62.7,21.4,59.4
S1484,Douglas Bishop,B,83.3,63.4,64.5,55.0,9.0,72.7
S1485,Jessica Sampson,C,57.5,71.7,78.8,42.8,11.4,63.9
S1486,Steven Garza,A,77.4,41.4,62.6,66.5,2.7,51.7
S1487,Timothy Hamilton,A,57.4,48.1,60.4,61.1,10.8,42.8
S1488,Nicole Franklin DDS,C,62.5,47.1,53.7,69.0,101.9,51.8
S1489,Amber Liu,C,93.0,67.1,88.1,54.5,86.9,75.3
S1490,Jason Marks,B,67.7,91.0,45.3,79.1,12.2,65.7
S1491,Katherine Lloyd,B,72.6,98.5,87.6,49.7,25.4,79.5
S1492,Julie Lopez,A,80.4,74.6,69.0,86.0,72.1,76.0
S1493,Lydia Martinez,A,75.9,72.5,34.8,37.5,0.2,59.3
S1494,John Thompson,B,71.8,38.0,66.6,68.1,49.9,57.8
S1495,Jesus Jones,A,74.4,56.9,22.2,68.7,88.9,45.2
S1496,Janet Hall,B,98.8,53.2,71.3,50.9,2.9,63.7
S1497,Jamie Castillo,A,69.3,55.7,75.9,67.9,5.3,66.6
S1498,Alexis Sanchez,C,72.4,62.5,49.3,79.9,97.1,61.3
S1499,Katie Smith,C,82.6,57.9,62.2,31.0,23.1,59.9
S1500,Tina Oconnor,B,83.3,35.3,95.2,69.0,0.4,61.3
S1501,Valerie Koch DVM,B,84.2,76.2,50.9,27.1,8.9,52.6
S1502,Jack Lucas,A,77.7,48.9,40.9,48.5,17.9,50.7
S1503,Renee Pena,C,56.3,68.6,86.7,84.8,35.4,66.8
S1504,Elizabeth Flynn,B,89.6,96.1,95.3,53.9,39.6,75.1
S1505,Donna Pineda,A,56.2,51.2,60.1,45.6,161.6,51.1
S1506,Ashley Hamilton,C,73.6,27.0,78.2,59.2,10.2,48.0
S1507,James Garcia,C,60.9,60.7,84.1,91.0,23.2,71.2
S1508,Anthony Barber,C,69.2,81.5,46.6,36.4,22.9,54.7
S1509,Jeffrey Lewis,B,73.9,94.4,51.3,47.3,15.6,72.2
S1510,Lawrence Elliott,B,73.9,46.6,82.2,83.0,5.6,72.0
S1511,Valerie Davis,B,75.1,72.5,90.3,88.0,113.8,74.3
S1512,Brittany Martinez,C,89.4,58.0,70.1,60.6,57.6,59.8
S1513,Andrea Murphy,C,75.4,63.4,44.2,44.7,20.7,42.0
S1514,Andrew Collins,A,67.1,100.0,95.8,91.3,27.7,69.8
S1515,Keith Gutierrez,A,81.6,42.5,50.4,84.3,7.7,49.8
S1516,Nina Green,A,84.3,68.8,54.0,71.5,23.5,72.9
S1517,David Rodriguez,C,55.3,72.0,66.2,50.6,35.6,57.0
S1518,Kayla Harrison,C,77.2,81.3,88.0,61.3,21.7,73.1
S1519,Donald Patel,A,78.4,66.5,75.4,59.8,139.0,54.3
S1520,Frederick Gonzalez,B,66.4,69.6,67.5,66.6,28.4,54.3
S1521,Deborah Flores,A,86.5,59.1,68.3,82.3,13.9,72.4
S1522,Kerri Farley,C,68.2,69.0,60.8,74.3,44.4,63.9
S1523,Patricia Acevedo,C,71.5,59.9,70.0,46.9,5.6,56.7
S1524,Alexandria Hernandez,C,67.9,74.3,14.5,81.3,14.6,57.8
S1525,Timothy Ford,B,70.2,59.5,54.7,66.4,12.8,66.9
S1526,Samantha Merritt,B,56.8,70.7,64.3,71.6,17.0,57.4
S1527,Ms. Laura Young DDS,A,52.7,64.6,39.3,82.5,45.7,53.8
S1528,Sara Leonard,A,89.1,81.9,67.0,46.4,19.9,69.2
S1529,Kevin Harrison,C,59.8,64.2,56.3,61.5,47.4,70.0
S1530,Kimberly Ward,C,58.1,38.4,91.6,54.6,25.8,41.6
S1531,Laura Bishop,C,44.2,83.9,88.3,40.0,12.6,62.3
S1532,James Harrell,C,62.3,51.4,51.6,66.9,49.8,52.5
S1533,John Edwards,B,54.1,55.2,57.3,97.2,8.2,59.7
S1534,Kevin Anderson,C,89.7,56.1,58.7,36.2,7.6,54.3
S1535,Nicole Hampton,C,82.1,85.6,51.9,61.5,21.1,65.9
S1536,Margaret Mills,C,61.7,33.0,63.5,71.0,9.1,54.6
S1537,Brian Davis,A,97.0,100.0,46.4,63.7,0.3,91.6
S1538,Steven Moyer,B,81.8,80.8,39.6,60.4,31.3,67.4
S1539,Sandra Warren,A,66.1,68.3,71.2,43.8,21.5,53.2
S1540,Robert Reed,C,40.0,64.2,71.3,65.3,17.7,50.0
S1541,April Camacho,B,97.5,69.3,45.5,51.4,102.3,63.2
S1542,Nathan Kramer,A,53.3,72.8,76.1,31.3,25.4,44.0
S1543,William Perry,B,50.3,74.7,48.6,78.7,59.7,54.8
S1544,Ryan Hammond,B,82.3,73.3,64.6,75.4,4.5,71.7
S1545,Kelli Curry,A,99.3,66.3,74.8,62.7,25.3,63.7
S1546,Sarah Mcintosh,A,86.6,62.0,59.4,65.2,60.7,71.0
S1547,Gary Brown,B,76.8,62.7,68.2,77.0,26.2,67.5
S1548,Jamie Duke,B,77.1,62.1,50.7,65.1,38.0,55.1
S1549,Natalie Gibson,C,80.2,82.0,56.5,74.7,14.0,66.6
S1550,Samuel Gonzalez,B,79.1,73.9,56.3,57.8,2.9,71.8
S1551,Barbara White,C,73.4,20.9,46.6,80.4,18.4,53.5
S1552,Jennifer Park,B,71.3,74.8,56.8,66.5,15.1,61.9
S1553,Karen Barrett,B,69.2,67.9,32.1,64.7,60.5,54.0
S1554,Katherine Lynch,C,61.0,64.7,51.2,44.2,8.4,52.0
S1555,Kelly Gonzales,B,66.6,59.2,54.9,66.0,102.1,55.1
S1556,William Jones,A,49.7,81.9,55.4,50.4,95.2,43.8
S1557,Keith Griffin,A,68.8,79.2,55.7,53.1,8.5,72.0
S1558,Mariah Olson,C,58.1,53.4,58.9,50.6,12.8,51.4
S1559,Crystal Ross,B,56.8,71.1,68.6,47.1,67.8,59.7
S1560,Katherine Farmer,B,72.2,50.4,75.7,91.7,102.0,65.4
S1561,David Jordan,A,86.7,44.3,48.3,80.6,17.6,54.9
S1562,Courtney Wilson,A,81.0,55.6,38.3,88.9,11.6,58.4
S1563,Margaret Perry,A,51.2,77.9,41.2,44.9,22.4,40.8
S1564,Margaret Lucero,A,58.1,79.3,51.2,63.0,34.9,71.5
S1565,Gordon Edwards,B,81.3,72.7,53.7,43.9,9.6,52.7
S1566,Gary Wilson,A,58.2,75.9,46.1,52.3,40.0,48.3
S1567,Laura Bentley,B,67.3,72.7,36.7,49.1,1.6,50.5
S1568,Gina King,C,76.6,55.4,51.8,79.4,1.5,66.9
S1569,Kimberly Frazier,A,58.4,71.5,63.3,56.5,14.6,57.0
S1570,Michelle Jones,B,71.3,77.0,70.7,77.0,13.1,59.2
S1571,Tabitha Gomez,C,54.0,76.3,50.0,70.5,11.4,63.6
S1572,Ashley Hall,A,62.8,82.8,52.6,94.3,20.3,69.1
S1573,Rebecca Davis,B,73.8,75.6,43.3,41.3,11.6,59.4
S1574,Brandon Davis,C,50.9,70.3,59.4,79.6,6.4,61.1
S1575,Justin Lee,C,75.3,81.1,44.7,78.1,11.1,78.1
S1576,George Willis,A,69.8,64.6,70.3,48.4,110.6,74.3
S1577,Daniel Taylor,C,76.6,51.8,27.9,76.1,15.9,49.2
S1578,Benjamin Davis,B,72.7,62.6,53.5,66.7,17.6,68.3
S1579,Paul Cantrell,A,86.4,53.8,65.4,58.8,25.8,64.2
S1580,Danielle Hodge,B,71.5,54.9,63.3,50.5,122.8,61.5
S1581,Erik Kennedy,C,64.8,62.8,100.0,51.9,8.3,53.0
S1582,Danielle Nguyen,B,71.5,53.1,66.3,90.7,34.3,61.4
S1583,John Collins,A,76.5,60.4,41.9,62.0,37.8,51.8
S1584,Dawn Gonzales,B,70.6,36.6,58.3,72.9,28.0,58.6
S1585,Christopher Rodriguez,A,70.5,68.2,28.0,50.9,2.8,57.9
S1586,Derek Chung,A,61.6,65.0,58.5,51.1,33.9,42.5
S1587,Olivia Newman,A,62.0,52.7,45.0,77.1,2.0,52.3
S1588,Shannon Hooper,A,53.2,74.9,76.5,43.1,27.2,63.8
S1589,James Santiago,A,91.0,79.1,50.1,56.2,40.4,65.4
S1590,Valerie Hartman,A,55.1,40.9,57.9,62.5,7.1,52.2
S1591,Karla Robinson MD,B,61.7,53.6,48.6,63.6,55.3,54.6
S1592,Tracie Cooley,A,61.4,53.5,91.3,59.5,0.9,61.0
S1593,David Reeves,A,80.7,50.9,54.2,67.5,55.7,57.7
S1594,Chelsea Chen,C,66.5,77.4,93.0,71.7,18.5,61.8
S1595,Michael Edwards,B,85.0,62.1,74.7,72.3,7.4,60.2
S1596,Bryan Parks,B,61.9,61.0,68.7,48.2,4.3,59.2
S1597,Ricardo Martin,A,73.3,34.9,66.6,58.0,91.9,55.2
S1598,Timothy Hawkins,A,60.0,74.5,67.1,78.7,2.3,61.1
S1599,Joe Ramirez,A,95.7,46.4,25.3,74.5,6.7,54.2
S1600,Todd Ramos,A,55.7,65.9,55.0,42.8,12.8,49.1
S1601,Kara Cox,A,73.7,69.2,75.2,66.9,29.0,71.5
S1602,Makayla Mcgee,A,77.6,85.4,59.1,34.3,23.6,60.2
S1603,Courtney Williams,A,75.0,45.4,34.7,62.7,4.0,42.2
S1604,Olivia Greer,A,67.8,19.7,59.1,88.6,10.3,55.1
S1605,Gary Cunningham,B,68.4,67.8,90.7,48.7,8.2,61.9
S1606,Jamie Combs,A,70.5,92.0,82.4,50.3,7.2,68.6
S1607,Courtney Marshall,A,68.2,83.6,58.9,72.7,15.9,74.1
S1608,Elizabeth Hoover,B,81.6,68.1,77.1,40.4,36.5,63.8
S1609,Ryan Robinson,B,96.5,57.6,53.4,53.1,7.4,63.9
S1610,Brandon James,A,63.3,77.1,29.3,70.4,13.7,48.0
S1611,Brian Webb,C,53.6,50.4,43.4,53.1,14.9,44.4
S1612,Yolanda Ellis,B,68.9,72.1,88.1,58.7,112.5,71.6
S1613,Stephen Black,A,100.0,72.6,55.1,72.4,92.8,63.0
S1614,Marilyn Ware,C,60.4,80.9,55.6,67.9,48.3,62.1
S1615,Barbara Castro,C,89.7,100.0,54.6,65.7,8.3,73.5
S1616,Brandon George,A,90.1,70.9,94.3,57.3,2.1,72.5
S1617,Kelly Murphy MD,A,63.4,57.4,89.3,67.2,11.4,67.8
S1618,Eddie Kim,C,76.8,64.6,99.9,60.3,9.3,70.5
S1619,Dillon Parker,B,89.5,38.5,57.1,68.4,21.2,67.6
S1620,Alfred Smith,A,65.5,54.6,65.3,55.0,45.1,49.8
S1621,Daniel Miller,A,67.6,58.9,32.7,59.4,58.6,52.7
S1622,Brittney Francis,A,63.0,57.1,86.6,48.1,55.9,59.6
S1623,Wanda Jones,B,57.8,67.3,39.0,61.5,13.4,45.1
S1624,Ann Sullivan,B,62.2,52.7,63.9,50.6,34.9,58.8
S1625,Daniel Ellison,A,55.3,81.8,40.2,46.4,11.3,66.3
S1626,Maurice Johnson,B,70.4,65.0,49.4,65.6,1.9,57.0
S1627,Daniel Santos,B,60.8,64.9,44.9,65.0,36.3,57.1
S1628,Manuel Morris,A,72.8,60.1,49.1,73.0,0.3,58.1
S1629,Chris Perkins,A,51.3,67.3,50.3,56.0,15.8,46.8
S1630,Shannon White,B,74.0,77.4,50.1,67.7,12.0,51.1
S1631,Jennifer Cruz,C,80.0,52.0,75.0,69.7,35.5,59.1
S1632,Jennifer Price,B,46.1,55.1,40.1,68.2,43.6,38.6
S1633,Taylor Mendez,B,74.5,60.4,64.0,50.4,10.9,68.3
S1634,Richard Fry,A,84.7,44.8,81.9,64.1,50.1,63.2
S1635,Andrew Simon,B,55.5,52.7,50.8,67.1,10.4,48.2
S1636,Susan Jackson,B,90.1,57.9,47.1,62.1,17.7,66.0
S1637,Gilbert Clark,A,75.0,78.1,55.9,32.8,39.0,52.4
S1638,Thomas Young,A,61.5,68.9,81.2,64.2,35.4,57.9
S1639,John Moon,A,69.3,67.9,63.5,93.0,131.1,68.1
S1640,Christopher Williams,A,76.7,77.8,50.4,57.0,7.7,67.4
S1641,Alexander Wright,A,70.9,62.9,68.7,51.8,32.6,62.3
S1642,Erin Turner,A,76.5,70.9,40.2,67.2,28.2,61.0
S1643,Jacqueline Ramirez,A,59.0,63.5,72.3,66.4,74.0,60.3
S1644,Alexandra Garcia,A,72.0,69.0,67.4,78.7,5.1,66.7
S1645,Samuel Mccoy,C,53.0,56.3,54.5,44.4,41.8,49.8
S1646,Christopher Silva,B,68.7,28.4,44.9,72.2,25.2,42.0
S1647,Carlos Allen,B,59.2,63.0,44.0,70.3,9.6,53.4
S1648,Mark Salazar,C,61.2,86.3,69.6,60.0,19.3,56.9
S1649,Matthew Wyatt,B,84.8,78.9,82.1,66.7,12.2,72.4
S1650,Sydney Welch,A,83.1,79.5,48.5,76.4,26.0,63.7
S1651,Mark Wade,B,77.3,83.5,68.3,74.2,65.9,85.7
S1652,Kathleen Hunt,B,56.9,66.3,22.4,46.0,25.3,45.4
S1653,Stephen Nelson,B,66.2,68.0,49.5,73.5,30.0,50.1
S1654,Logan Bradshaw,B,84.6,55.7,59.4,61.1,21.9,60.1
S1655,James Allen,A,71.7,60.3,43.6,63.0,1.6,57.9
S1656,Tiffany Flores,A,97.8,74.2,43.1,63.0,8.0,76.2
S1657,Rachel Shaw,A,74.7,83.1,48.0,59.9,20.3,58.7
S1658,Jacob Brady,B,72.3,62.9,65.3,78.7,11.1,53.1
S1659,Rachel Knight,B,66.3,58.2,56.6,60.8,6.0,60.0
S1660,Teresa Scott,A,71.6,65.0,19.7,46.3,21.0,40.9
S1661,Zachary Higgins PhD,C,68.2,74.0,21.8,56.5,11.7,49.5
S1662,Patricia Pope,B,78.5,43.3,49.1,64.5,9.0,52.6
S1663,William Williams,A,81.5,30.6,68.2,79.2,18.7,57.7
S1664,Amy Smith,A,60.6,56.7,10.5,70.4,4.3,49.3
S1665,Edward Smith,A,54.0,46.7,51.0,50.1,78.8,43.5
S1666,Joseph Graham,A,48.0,57.4,50.5,96.8,60.7,53.2
S1667,Dylan Price,A,76.1,62.8,85.0,65.7,36.9,66.2
S1668,Abigail Fitzgerald,A,56.8,58.2,53.1,79.9,3.4,55.2
S1669,Derek Torres,A,44.2,86.8,66.9,59.9,44.9,59.0
S1670,Randy Obrien,A,74.7,69.9,62.5,69.5,49.5,66.7
S1671,Susan Stokes,C,99.9,69.5,21.6,73.8,43.8,68.9
S1672,Christopher Cline,A,69.9,74.3,73.8,79.1,3.6,68.6
S1673,Amy Conley,B,80.1,47.9,63.9,76.8,31.0,63.8
S1674,Rhonda Torres,B,71.0,80.6,69.1,74.2,53.9,58.3
S1675,Brittney Black,C,68.8,63.9,100.0,57.6,25.8,66.2
S1676,Dylan Parsons,A,81.0,75.1,22.5,54.0,31.2,59.3
S1677,Lauren Miller,A,66.5,48.9,91.0,66.7,18.4,65.2
S1678,Jacob Watson,C,73.2,41.7,54.8,75.1,22.6,51.0
S1679,Daniel Weaver,C,73.9,77.3,65.2,58.9,1.0,59.4
S1680,Paul Williamson,C,62.0,70.6,59.2,76.9,30.6,56.9
S1681,Robert Johnston,A,81.9,51.5,52.4,82.3,2.5,63.5
S1682,Tracy Robbins,A,67.9,52.0,49.7,49.2,17.1,57.3
S1683,John Stephens,B,60.9,81.9,65.9,50.3,10.4,57.3
S1684,Michael Myers,C,76.4,47.2,32.7,60.0,23.7,56.3
S1685,Alexander Hayes,B,59.2,89.6,73.5,66.3,4.3,65.7
S1686,Christopher Ortiz,B,70.3,51.5,52.5,54.7,35.3,52.8
S1687,Lisa Torres,A,69.9,74.6,39.7,80.9,47.5,59.6
S1688,Bryan Moore,C,83.0,60.1,51.9,67.9,5.4,65.1
S1689,Cynthia Ryan,A,75.7,74.0,82.6,62.6,3.3,69.2
S1690,Logan Hunt,A,69.7,56.8,50.4,41.9,4.7,65.2
S1691,James Wagner,B,79.8,62.6,66.5,43.6,62.9,55.9
S1692,Jennifer Taylor,B,86.7,65.6,46.8,65.9,22.5,65.3
S1693,Lance Hancock,A,76.7,50.0,73.6,32.1,18.9,52.3
S1694,Jerry Johnson,A,70.1,76.1,72.3,76.2,3.4,60.8
S1695,Joseph West,B,54.3,57.3,93.3,59.8,31.5,58.9
S1696,Bianca Patrick,A,57.2,61.6,56.8,100.0,60.7,61.3
S1697,Cheryl Sanchez,B,66.3,50.1,72.0,94.3,52.8,79.8
S1698,Melissa Potter,A,62.7,26.6,61.8,59.5,29.5,46.4
S1699,Amy Johnson,B,67.8,62.1,83.3,60.5,2.3,54.9
S1700,Jorge Brown,B,70.7,100.0,47.1,75.9,3.6,68.7
S1701,Roger Stuart,A,76.4,76.8,73.4,85.8,1.5,57.2
S1702,Kristin Thomas,A,69.2,64.7,56.5,39.1,8.9,53.8
S1703,Dylan Freeman,A,75.8,61.1,58.8,37.0,4.4,55.5
S1704,Brian Solis,A,70.8,65.3,61.7,53.3,9.0,62.9
S1705,Tonya Murphy,C,46.3,73.2,64.5,70.2,14.6,61.8
S1706,Patricia Myers,A,58.7,47.3,57.9,69.0,85.9,50.5
S1707,Andrew Thompson,C,68.3,81.7,63.9,77.0,28.3,65.0
S1708,George Fisher,A,55.5,75.7,88.4,45.2,54.0,56.8
S1709,Rose Cooper,B,77.2,75.8,77.7,29.6,37.2,56.2
S1710,Amanda French,C,88.4,71.6,75.6,74.0,3.6,72.6
S1711,Dr. Calvin Simpson MD,B,84.6,65.3,51.8,50.4,39.9,53.0
S1712,Amanda Thompson,B,67.4,75.1,44.0,33.7,9.7,50.6
S1713,Ana Miller,B,87.9,73.9,77.2,64.0,30.6,64.7
S1714,Alyssa Walsh,A,71.8,59.7,75.8,73.1,12.5,66.2
S1715,Tyler Cummings,C,66.0,56.4,86.5,60.3,180.0,75.5
S1716,Mr. Michael Mendez MD,C,62.6,66.5,49.1,55.6,9.2,46.0
S1717,Travis Sullivan,C,66.4,88.2,55.9,59.8,9.8,51.2
S1718,Juan Duarte,A,65.3,46.4,30.5,56.8,80.1,47.1
S1719,Dr. Amber Williams,B,72.0,43.0,52.9,43.1,0.7,49.5
S1720,Nicholas Coleman,C,71.9,67.5,77.9,52.0,35.8,64.0
S1721,Kimberly Smith,A,70.0,65.8,51.6,69.3,38.8,56.5
S1722,Patricia Thompson,A,75.2,67.6,71.5,66.5,54.3,63.9
S1723,Joel Thomas,B,84.3,68.7,56.6,64.4,110.0,68.4
S1724,Jessica Phillips,B,81.4,61.7,65.8,48.1,111.4,69.2
